,Title,Genre,GenreCorrected,GenreListed
0,Kansas Saloon Smashers,unknown,,[]
1,Love by the Light of the Moon,unknown,,[]
2,The Martyred Presidents,unknown,,[]
3,"Terrible Teddy, the Grizzly King",unknown,,[]
4,Jack and the Beanstalk,unknown,,[]
5,Alice in Wonderland,unknown,,[]
6,The Great Train Robbery,western,action,['action']
7,The Suburbanite,comedy,comedy,['comedy']
8,The Little Train Robbery,unknown,,[]
9,The Night Before Christmas,unknown,,[]
10,Dream of a Rarebit Fiend,short,short,['short']
11,From Leadville to Aspen: A Hold-Up in the Rockies,short action/crime western,short action action action,['action' 'short']
12,Kathleen Mavourneen,short film,short ,['short']
13,Daniel Boone,biographical,cultural,['cultural']
14,How Brown Saw the Baseball Game,comedy,comedy,['comedy']
15,Laughing Gas,comedy,comedy,['comedy']
16,The Adventures of Dollie,drama,drama,['drama']
17,The Black Viper,drama,drama,['drama']
18,A Calamitous Elopement,comedy,comedy,['comedy']
19,The Call of the Wild,adventure,action,['action']
20,A Christmas Carol,drama,drama,['drama']
21,The Fight for Freedom,western,action,['action']
22,At the Altar,drama,drama,['drama']
23,A Drunkard's Reformation,drama,drama,['drama']
24,The Golden Louis,drama,drama,['drama']
25,The Lure of the Gown,unknown,,[]
26,An Arcadian Maid,drama,drama,['drama']
27,A Christmas Carol,unknown,,[]
28,Frankenstein,unknown,,[]
29,"Hemlock Hoax, the Detective",comedy,comedy,['comedy']
30,The House with Closed Shutters,drama,drama,['drama']
31,A Lad from Old Ireland,drama,drama,['drama']
32,Pocahontas,short fantasy,short fantasy,['fantasy' 'short']
33,Ramona,drama,drama,['drama']
34,What the Daisy Said,unknown,,[]
35,The Wonderful Wizard of Oz,unknown,,[]
36,Baseball and Bloomers,silent sports,silent cultural,['cultural' 'silent']
37,The Black Arrow: A Tale of the Two Roses,drama,drama,['drama']
38,Brown of Harvard,drama,drama,['drama']
39,For Her Sake,unknown,,[]
40,David Copperfield,drama,drama,['drama']
41,The Pasha's Daughter,unknown,,[]
42,Sweet Memories,drama,drama,['drama']
43,The Deserter,unknown,,[]
