,Genre,Count
0,action,10267
1,drama,9501
2,comedy,7300
3,romance,2624
4,cultural,2104
5,animation,914
6,child,684
7,fantasy,546
8,thriller,481
9,black,443
10,short,241
11,social,231
12,serial,87
13,adult,84
14,supernatural,41
15,masala,41
16,satire,33
17,teen,31
18,fiction,30
19,parody,22
20,literary,21
21,slice,20
22,life,20
23,slasher,20
24,devotional,19
25,youth,19
26,subject,19
27,feature,18
28,folklore,17
29,kaiju,17
30,anthology,17
31,wuxia,16
32,rom,15
33,com,15
34,slapstick,14
35,base,14
36,road,12
37,love,12
38,exploitation,12
39,detective,12
40,screwball,11
41,religious,11
42,biker,10
43,girl,10
44,biblical,10
45,coming_of_age,10
46,neo,10
47,live,9
48,produce,9
49,magical,9
50,african,9
51,novel,8
52,ero,7
53,jidaigeki,7
54,shakespearean,7
55,christian,6
56,co,6
57,play,6
58,monster,6
59,experimental,6
60,mecha,6
61,prison,6
62,true,6
63,art,6
64,buddy,6
65,story,5
66,dramatic,5
67,patriotic,5
68,idol,5
69,operetta,5
70,pow,5
71,zombie,5
72,yakuza,5
73,apocalyptic,5
74,ravi,4
75,pink,4
76,charmme,4
77,raj,4
78,cult,4
79,cop,4
80,ileana,4
81,sword,4
82,d'cruz,4
83,heist,4
84,lgbt,4
85,military,4
86,post,4
87,satirical,4
88,computer,4
89,ancient-,3
90,concert,3
91,patriotism,3
92,hit,3
93,travel,3
94,production,3
95,tragedy,3
96,srikanth,3
97,legend,3
98,spoof,3
99,footage,3
100,find,3
101,triad,3
102,martial,3
103,yash,3
104,politic,3
105,mob,3
106,porno,3
107,babu,3
108,medical,3
109,educational,3
110,school,3
111,reincarnation,3
112,nature,3
113,roman,3
114,reddy,3
115,opera,3
116,kalyan,3
117,teja,3
118,campus,3
119,ram,3
120,chanbara,3
121,raja,3
122,silent,3
123,adapt,3
124,actionner,3
125,nfb,3
126,entertainment,2
127,theme,2
128,race,2
129,siddharth,2
130,year,2
131,remake,2
132,usa,2
133,prakash,2
134,revenge,2
135,fairy,2
136,shriya,2
137,prasad,2
138,jr,2
139,shogi,2
140,rao,2
141,aquatic,2
142,imdb,2
143,krishnan,2
144,vampire,2
145,independent,2
146,allari,2
147,alice,2
148,s.,2
149,venu,2
150,ali,2
151,inter,2
152,romanctic,2
153,australian,2
154,futuristic,2
155,j,2
156,american,2
157,legal,2
158,marc,2
159,rajendra,2
160,fighting,2
161,racing,2
162,p.o.w,2
163,eiga,2
164,charlie,2
165,bharath,2
166,murder,2
167,mythological,2
168,chambara,2
169,chan,2
170,pawan,2
171,adaptation,2
172,naresh,2
173,bicycle,2
174,surreal,2
175,steampunk,2
176,sumanth,2
177,nusrat,2
178,cinema,2
179,time,2
180,ntr,2
181,chess,2
182,super,2
183,blaxploitation,2
184,childdrama,2
185,swimming,2
186,bouchard,2
187,mukherjee,2
188,portmanteau,2
189,box,2
190,triangle,2
191,direct,2
192,tale,2
193,trisha,2
194,bros,2
195,motion,2
196,space,2
197,splatter,2
198,dvd,2
199,cartoon,2
200,michel,2
201,piece,2
202,boxing,2
203,rahman,1
204,red,1
205,zindagi,1
206,raghava,1
207,padmapriya,1
208,ramanaidu,1
209,reality,1
210,yuen,1
211,panorama,1
212,rajasekhar,1
213,rajiv,1
214,paramount,1
215,radio,1
216,raman,1
217,passion,1
218,radhika,1
219,punk,1
220,prabhas,1
221,prabhu,1
222,poonam,1
223,pooja,1
224,poker,1
225,yellow,1
226,yogesh,1
227,pioneer,1
228,precultural,1
229,priquitianism,1
230,priyadarshini,1
231,picture,1
232,priyanka,1
233,physiological,1
234,photographer,1
235,witherspoon,1
236,perodic,1
237,productions,1
238,paul,1
239,reema,1
240,partha,1
241,pseudo,1
242,psy,1
243,yeh,1
244,thriler,1
245,reese,1
246,sneha,1
247,stoker,1
248,stephen,1
249,star,1
250,stage,1
251,srinivasa,1
252,travelogue,1
253,south,1
254,sood,1
255,sonu,1
256,triller,1
257,uday,1
258,trilogy,1
259,slahser,1
260,twist,1
261,tóibín,1
262,slade,1
263,sivaji,1
264,siva,1
265,sindhu,1
266,sin,1
267,stoner,1
268,stop,1
269,strip,1
270,student,1
271,thai,1
272,television,1
273,tapas,1
274,tabu,1
275,swashbuckle,1
276,survival,1
277,surf,1
278,supeheroe,1
279,sunil,1
280,summer,1
281,sukachenko,1
282,tolani,1
283,suitor,1
284,suhasini,1
285,stylish,1
286,studios,1
287,tragerdy,1
288,studio,1
289,tragic,1
290,shravan,1
291,shraddha,1
292,relate,1
293,vizinczey,1
294,sameera,1
295,saloni,1
296,vimala,1
297,sada,1
298,saali,1
299,russell,1
300,roy,1
301,romcom,1
302,viswendar,1
303,role,1
304,p.,1
305,rohinton,1
306,rock,1
307,robitaille,1
308,volleyball,1
309,rishi,1
310,right,1
311,richard,1
312,revolutionary,1
313,wajdi,1
314,samskruti,1
315,sandhya,1
316,vigilante,1
317,scarlett,1
318,united,1
319,urban,1
320,shetty,1
321,shenoy,1
322,shashank,1
323,v,1
324,sharwanand,1
325,sharma,1
326,sf,1
327,set,1
328,series,1
329,viacom,1
330,sergey,1
331,separate,1
332,sentiment,1
333,sen,1
334,semi,1
335,video,1
336,screenplay,1
337,saran,1
338,2-reeler,1
339,outlaw,1
340,colour,1
341,d.,1
342,d'souza,1
343,cyberpunk,1
344,critically,1
345,cravalho,1
346,cowboy,1
347,counterculture,1
348,conspiracy,1
349,compilation,1
350,comic,1
351,comedic,1
352,colonial,1
353,dasgupta,1
354,colm,1
355,cold,1
356,clay,1
357,classic,1
358,cinekorn,1
359,chowdhury,1
360,chopra,1
361,chiranjeevi,1
362,chillies,1
363,chawla,1
364,charmy,1
365,das,1
366,dattatraya,1
367,oliver,1
368,dwayne,1
369,fantay,1
370,fantasy-,1
371,event,1
372,eros,1
373,environmental,1
374,entertainer,1
375,emma,1
376,emergency,1
377,early,1
378,eadweard,1
379,dystopia,1
380,duology,1
381,day,1
382,dram,1
383,double,1
384,donoghue,1
385,docufiction,1
386,disease,1
387,directorial,1
388,dharma,1
389,deva,1
390,dev,1
391,debut,1
392,debashree,1
393,chanchal,1
394,chakravarthy,1
395,chakraborty,1
396,arctic,1
397,b,1
398,aviation,1
399,auli'i,1
400,august,1
401,aswani,1
402,asin,1
403,arya,1
404,artists,1
405,artistic,1
406,arti,1
407,arjun,1
408,anushka,1
409,cbc,1
410,amperiani,1
411,alzheimer,1
412,alexandre,1
413,ajay,1
414,aids,1
415,ahlawat,1
416,ago,1
417,agarwal,1
418,afghan,1
419,acclaim,1
420,"4,000",1
421,b.r,1
422,bajwa,1
423,balaji,1
424,balakrishna,1
425,canadiens,1
426,canadian,1
427,canada,1
428,camp,1
429,business,1
430,british,1
431,bramhanandam,1
432,bram,1
433,brahmanandam,1
434,bond,1
435,biogtaphy,1
436,biju,1
437,bhoomika,1
438,bholenath,1
439,bhavana,1
440,bhaskara,1
441,bhagavaan,1
442,bernard,1
443,bbc,1
444,barua,1
445,bank,1
446,balu,1
447,ballard,1
448,faria,1
449,fim,1
450,forest,1
451,lawrence,1
452,maurice,1
453,masuma,1
454,margaret,1
455,mammootty,1
456,malyana,1
457,mahesh,1
458,30min,1
459,madhav,1
460,loosely,1
461,liberation,1
462,lee,1
463,laurence,1
464,kid,1
465,lakshmana,1
466,lai,1
467,krishnashankar,1
468,krishna,1
469,krapiventsev,1
470,koyuki,1
471,kothari,1
472,kota,1
473,korean,1
474,kondavalasa,1
475,knkspl,1
476,maysuyama,1
477,mazhar,1
478,meera,1
479,menon,1
480,olga,1
481,oleg,1
482,occult,1
483,nedumudi,1
484,nayantara,1
485,narayanan,1
486,narayan,1
487,nandamuri,1
488,nagarjuna,1
489,nadeem,1
490,nabila,1
491,muybridge,1
492,munro,1
493,mukesh,1
494,mouawad,1
495,montreal,1
496,mohit,1
497,mohanlal,1
498,modern,1
499,mocatsu,1
500,mm,1
501,mistry,1
502,mimi,1
503,kiran,1
504,khushboo,1
505,geki,1
506,hitler,1
507,indira,1
508,immigrant,1
509,imax,1
510,hygiene,1
511,humour,1
512,human,1
513,huangmei,1
514,house,1
515,home,1
516,holocaust,1
517,hockey,1
518,hills,1
519,khokhlova,1
520,hegland,1
521,harem,1
522,goyette,1
523,gothic,1
524,gosavi,1
525,gore,1
526,gopi,1
527,glukoza,1
528,german,1
529,genre,1
530,genelia,1
531,inspire,1
532,interactive,1
533,inuit,1
534,investigative,1
535,ken'ichi,1
536,keiji,1
537,kei,1
538,kaur,1
539,karuta,1
540,kanakala,1
541,kamalini,1
542,kamalinee,1
543,kalyani,1
544,k9,1
545,jyothika,1
546,joshi,1
547,johnson,1
548,johansson,1
549,jidai,1
550,jeet,1
551,jean,1
552,je,1
553,jayasudha,1
554,james,1
555,jahan,1
556,jagapati,1
557,j.g,1
558,madhu,1
