,Genre,Count
0,action,10264
1,drama,9500
2,comedy,7297
3,romance,2624
4,cultural,2103
5,animation,914
6,child,684
7,fantasy,546
8,thriller,481
9,black,443
10,short,241
11,social,231
12,serial,87
13,adult,84
14,supernatural,41
15,masala,40
16,satire,33
17,teen,31
18,fiction,30
19,parody,22
20,literary,21
21,life,20
22,slasher,20
23,slice,20
24,youth,19
25,devotional,19
26,subject,19
27,feature,18
28,kaiju,17
29,anthology,17
30,folklore,17
31,wuxia,16
32,com,15
33,rom,15
34,slapstick,14
35,base,14
36,detective,12
37,exploitation,12
38,road,12
39,love,12
40,religious,11
41,screwball,11
42,girl,10
43,coming_of_age,10
44,biker,10
45,biblical,10
46,neo,10
47,african,9
48,live,9
49,produce,9
50,magical,9
51,novel,8
52,ero,7
53,shakespearean,7
54,jidaigeki,7
55,experimental,6
56,monster,6
57,buddy,6
58,prison,6
59,play,6
60,christian,6
61,true,6
62,co,6
63,mecha,6
64,art,6
65,idol,5
66,dramatic,5
67,pow,5
68,operetta,5
69,story,5
70,apocalyptic,5
71,zombie,5
72,yakuza,5
73,patriotic,5
74,computer,4
75,charmme,4
76,lgbt,4
77,post,4
78,satirical,4
79,heist,4
80,sword,4
81,military,4
82,raj,4
83,pink,4
84,ileana,4
85,ravi,4
86,d'cruz,4
87,cult,4
88,cop,4
89,babu,3
90,spoof,3
91,srikanth,3
92,patriotism,3
93,silent,3
94,martial,3
95,educational,3
96,concert,3
97,legend,3
98,nature,3
99,ancient-,3
100,nfb,3
101,production,3
102,find,3
103,footage,3
104,school,3
105,hit,3
106,raja,3
107,ram,3
108,adapt,3
109,roman,3
110,actionner,3
111,reddy,3
112,kalyan,3
113,reincarnation,3
114,yash,3
115,opera,3
116,campus,3
117,mob,3
118,politic,3
119,chanbara,3
120,travel,3
121,porno,3
122,medical,3
123,tragedy,3
124,triad,3
125,teja,3
126,race,2
127,nusrat,2
128,krishnan,2
129,ntr,2
130,racing,2
131,swimming,2
132,futuristic,2
133,chan,2
134,year,2
135,chambara,2
136,fighting,2
137,ali,2
138,portmanteau,2
